Date,Open,High,Low,Close,Adj Cose,Volume,Next High,Next Low
19-07-1996,7.06556,7.1,6.94444,6.98444,0.000164,85104000,7.10889,6.82444
22-07-1996,6.91,7.10889,6.82444,6.96778,0.000164,110304000,7.05556,6.91111
23-07-1996,7.01667,7.05556,6.91111,6.94222,0.000163,127287000,6.96667,6.73
24-07-1996,6.92778,6.96667,6.73,6.85222,0.000161,208746000,6.91,6.82222
25-07-1996,6.83333,6.91,6.82222,6.83889,0.000161,81180000,6.87889,6.71778
26-07-1996,6.87556,6.87889,6.71778,6.77333,0.000159,144027000,6.82778,6.50889
29-07-1996,6.78889,6.82778,6.50889,6.53778,0.000154,254844000,6.49111,6.20778
30-07-1996,6.49111,6.49111,6.20778,6.32778,0.000149,371394000,6.78889,6.27222
31-07-1996,6.37778,6.78889,6.27222,6.72,0.000158,507483000,7.01667,6.73333
01-08-1996,6.83889,7.01667,6.73333,6.77556,0.000159,509188500,6.85556,6.60222
02-08-1996,6.75556,6.85556,6.60222,6.76333,0.000159,444348000,6.93333,6.80222
05-08-1996,6.83333,6.93333,6.80222,6.83222,0.000161,304956000,7,6.63667
06-08-1996,6.83333,7,6.63667,6.80222,0.00016,377064000,6.81222,6.71444
07-08-1996,6.75556,6.81222,6.71444,6.78556,0.00016,91381500,6.81778,6.62333
08-08-1996,6.81778,6.81778,6.62333,6.65333,0.000157,93406500,6.73111,6.58333
09-08-1996,6.64444,6.73111,6.58333,6.70556,0.000158,126238500,6.84,6.71667
12-08-1996,6.74889,6.84,6.71667,6.77667,0.000159,141907500,6.91111,6.75
13-08-1996,6.75667,6.91111,6.75,6.85556,0.000161,129604500,6.80556,6.72222
14-08-1996,6.79222,6.80556,6.72222,6.75111,0.000159,75834000,6.78556,6.63111
16-08-1996,6.73889,6.78556,6.63111,6.66556,0.000157,118971000,6.6,6.27889
19-08-1996,6.6,6.6,6.27889,6.30778,0.000148,209794500,6.43889,6.27222
20-08-1996,6.27778,6.43889,6.27222,6.34556,0.000149,139149000,6.45556,6.36111
21-08-1996,6.4,6.45556,6.36111,6.42444,0.000151,86971500,6.48889,6.30556
22-08-1996,6.45667,6.48889,6.30556,6.32556,0.000149,87988500,6.41556,6.27222
23-08-1996,6.29111,6.41556,6.27222,6.38889,0.00015,70429500,6.42111,6.24222
26-08-1996,6.42111,6.42111,6.24222,6.25889,0.000147,99459000,6.41111,6.16222
27-08-1996,6.25,6.41111,6.16222,6.32222,0.000149,200808000,6.43889,6.31111
28-08-1996,6.37778,6.43889,6.31111,6.38778,0.00015,71779500,6.50556,6.37333
29-08-1996,6.4,6.50556,6.37333,6.41222,0.000151,111357000,6.45333,6.37444
30-08-1996,6.41111,6.45333,6.37444,6.44,0.000152,60952500,6.66111,6.45
02-09-1996,6.47778,6.66111,6.45,6.59444,0.000155,143572500,6.70778,6.51111
03-09-1996,6.66556,6.70778,6.51111,6.61667,0.000156,179784000,6.57778,6.47333
04-09-1996,6.51111,6.57778,6.47333,6.55889,0.000154,79492500,6.64889,6.55556
05-09-1996,6.59444,6.64889,6.55556,6.63444,0.000156,69291000,6.72222,6.58222
06-09-1996,6.64222,6.72222,6.58222,6.67333,0.000157,142956000,6.67111,6.56778
09-09-1996,6.67111,6.67111,6.56778,6.58333,0.000155,116122500,6.58889,6.5
10-09-1996,6.57778,6.58889,6.5,6.56222,0.000154,112117500,6.57778,6.36667
11-09-1996,6.55,6.57778,6.36667,6.38222,0.00015,128731500,6.41333,6.31222
12-09-1996,6.39778,6.41333,6.31222,6.38667,0.00015,120370500,6.44444,6.33444
13-09-1996,6.42222,6.44444,6.33444,6.35,0.000149,83268000,6.33889,6.20667
16-09-1996,6.33333,6.33889,6.20667,6.23667,0.000147,148135500,6.59333,6.22222
17-09-1996,6.22444,6.59333,6.22222,6.42556,0.000151,101574000,6.75222,6.37222
18-09-1996,6.48889,6.75222,6.37222,6.68222,0.000157,157909500,6.72,6.47889
19-09-1996,6.66667,6.72,6.47889,6.50778,0.000153,196929000,6.60778,6.49
20-09-1996,6.51111,6.60778,6.49,6.53889,0.000154,96763500,6.55556,6.47889
23-09-1996,6.51111,6.55556,6.47889,6.52667,0.000154,77872500,6.74444,6.55333
24-09-1996,6.55444,6.74444,6.55333,6.68222,0.000157,247869000,6.78667,6.62667
25-09-1996,6.71,6.78667,6.62667,6.65333,0.000157,155137500,6.66667,6.54444
26-09-1996,6.66667,6.66667,6.54444,6.59889,0.000155,113598000,6.68111,6.52333
27-09-1996,6.6,6.68111,6.52333,6.60889,0.000156,187092000,6.75333,6.6
30-09-1996,6.62222,6.75333,6.6,6.73222,0.000158,164398500,7.18889,6.71222
01-10-1996,6.75444,7.18889,6.71222,6.80556,0.00016,240903000,6.96667,6.77778
03-10-1996,6.8,6.96667,6.77778,6.93778,0.000163,303381000,7.01,6.76667
04-10-1996,6.95556,7.01,6.76667,6.85556,0.000161,334696500,6.84444,6.56
07-10-1996,6.83444,6.84444,6.56,6.73667,0.000159,346864500,7.13333,6.65667
08-10-1996,6.71222,7.13333,6.65667,7.03667,0.000166,441364500,6.98889,6.83333
09-10-1996,6.91111,6.98889,6.83333,6.90333,0.000162,195336000,7.2,6.89111
10-10-1996,6.90778,7.2,6.89111,7.17,0.000169,325944000,7.31556,7.16667
11-10-1996,7.22,7.31556,7.16667,7.21111,0.00017,342256500,7.17333,7.02222
14-10-1996,7.17333,7.17333,7.02222,7.09,0.000167,193725000,7.26333,6.78
15-10-1996,7.06444,7.26333,6.78,7.07778,0.000167,381001500,7.31111,6.86222
16-10-1996,6.91778,7.31111,6.86222,6.90556,0.000163,262372500,6.87889,6.64667
17-10-1996,6.87889,6.87889,6.64667,6.76778,0.000159,347332500,6.82111,6.7
18-10-1996,6.78889,6.82111,6.7,6.72667,0.000158,193662000,6.93333,6.73444
22-10-1996,6.75556,6.93333,6.73444,6.82556,0.000161,220347000,7.15333,6.97778
23-10-1996,6.97778,7.15333,6.97778,7.10667,0.000167,156865500,7.17667,6.87333
24-10-1996,7.15556,7.17667,6.87333,6.92222,0.000163,152622000,6.99778,6.87889
25-10-1996,6.89222,6.99778,6.87889,6.97111,0.000164,83529000,7.13333,7.01111
28-10-1996,7.03333,7.13333,7.01111,7.04444,0.000166,128443500,7.31111,7.01667
29-10-1996,7.04444,7.31111,7.01667,7.18222,0.000169,214974000,6.83444,6.46667
31-10-1996,6.83444,6.83444,6.46667,6.69111,0.000157,385960500,6.81111,6.61333
01-11-1996,6.65111,6.81111,6.61333,6.67667,0.000157,358177500,6.60556,6.41111
04-11-1996,6.60556,6.60556,6.41111,6.46111,0.000152,290061000,6.51889,6.00889
05-11-1996,6.42333,6.51889,6.00889,6.10556,0.000144,452736000,5.89444,5.67889
